,0,1,2,3,4,5,6,7,8,9
0,2.0917231138592784e-70,3.92211388336415e-39,2.8359505442270898e-21,3.1431378077008893e-19,3.0626549882447628e-33,1.1014967237386047e-60,2.6091544481618876e-78,8.432888210280792e-99,7.892724743229331e-116,2.918743558073432e-118
1,1.1927837164695923e-46,1.3593402455903736e-18,0.014047405295157023,0.6500254630704787,8.617832322703085e-14,6.592736864097389e-38,4.275486130961348e-52,2.1928942537247265e-70,7.980239892908284e-87,6.239923249660533e-91
2,1.1949870188544258e-40,9.615280001841308e-16,0.2729166735300028,0.06301045810412625,1.3527304776757206e-13,4.347540626280282e-34,1.2518449071351253e-44,1.4825621023869327e-60,3.1221086061210005e-76,1.1375024905855671e-81
3,5.1407001272547445e-50,2.668456206953295e-24,1.2854501153471238e-14,2.4636125404469362e-20,1.880879416050807e-32,6.3121202683380654e-46,2.985014967480805e-53,2.391107101462885e-67,2.5483781516794198e-82,1.6216921012388942e-88
4,1.4664217570368054e-69,9.621027440957019e-46,5.654322344561922e-38,1.858516718930467e-42,7.215553667128195e-53,1.5731047360821997e-67,9.669525389391201e-76,9.765585461353905e-90,3.3884790584112455e-104,1.6993699094801983e-109
5,1.4027243294434436e-99,2.0877670354137022e-72,2.9087246091889938e-61,4.030752166187765e-63,2.579163093963143e-75,1.145393199351076e-99,6.973537768995229e-113,1.381484813542377e-128,7.842271773754959e-143,1.1643520831363787e-145
6,2.702650465021863e-107,3.476552936717621e-76,6.8314859855488585e-62,2.5390024862083837e-62,1.2568300134068233e-76,1.6355879623591458e-106,2.902488929384137e-124,2.739776599565889e-142,5.3707498601944813e-157,7.007447686465956e-158
7,2.6709632337678426e-107,3.00035183696486e-73,1.0184825416440457e-56,2.3267631966078087e-56,5.295129663193874e-72,5.103383551846353e-105,1.1612376417544228e-125,9.6805865382392e-146,2.5924528309202693e-161,5.136678070783434e-161
8,4.390780667362637e-113,2.958534904125204e-77,4.919631963547264e-59,1.0161610252299666e-57,1.6352042051659468e-73,1.3004351902779861e-107,1.6009908934534584e-129,1.2622041624548377e-151,1.050189838233328e-168,2.222489449425254e-168
9,1.0326549291183666e-111,1.3781457239256585e-76,4.413383082005774e-58,2.567706143032777e-56,1.5760238678063063e-71,2.401224425884006e-104,1.2740224041573989e-125,5.113030580945331e-148,2.46430261390931e-165,1.5918036614180319e-165
